City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
327,Kahului,20,US,1578283289,61,20.89,-156.47,78.8,16.11
328,Farafangana,28,MG,1578283511,75,-22.82,47.83,78.94,3.04
329,Sao Joao da Barra,100,BR,1578283512,94,-21.64,-41.05,75.29,4.38
330,Champasak,0,LA,1578283513,57,14.89,105.88,80.6,2.24
331,Tasiilaq,100,GL,1578283515,90,65.61,-37.64,20.64,38.86
332,Havre-Saint-Pierre,1,CA,1578283516,71,50.23,-63.6,8.6,5.82
333,Wenling,73,CN,1578283517,69,28.38,121.38,71.01,3.47
334,Mirai,74,BR,1578283518,95,-21.2,-42.61,73,4.18
335,Sotouboua,70,TG,1578283522,32,8.56,0.98,70.84,2.39
336,Nome,1,US,1578283523,87,30.04,-94.42,60.01,5.82
337,Carsamba,100,TR,1578283524,74,41.2,36.72,35.6,5.64
338,Buenos Aires,90,AR,1578283362,77,-34.61,-58.44,71.6,17.22
339,Flinders,100,AU,1578283526,77,-34.58,150.85,73.99,13.87
340,Tirano,0,IT,1578283528,76,46.22,10.17,37,2.13
341,Bukama,100,CD,1578283529,98,-9.2,25.85,69.42,0.4
342,Atasu,0,KZ,1578283530,73,48.68,71.64,15.01,10.54
343,Morwa,16,BW,1578283532,93,-24.44,26.07,66.2,1.12
344,Volyne,0,CZ,1578283533,93,49.17,13.89,30,3.38
345,Chino Valley,1,US,1578283534,41,34.76,-112.45,44.01,9.17
346,Quang Ngai,2,VN,1578283535,77,15.12,108.8,75.42,8.7
347,Zabaykalsk,100,CN,1578283536,81,49.64,117.33,9.68,5.66
348,Sao Paulo de Olivenca,44,BR,1578283537,97,-3.38,-68.87,74.01,1.77
349,Rafai,100,CF,1578283538,33,4.95,23.92,63.28,2.19
350,Douentza,84,ML,1578283539,27,15.01,-2.95,51.15,3.42
351,Aitape,100,PG,1578283540,86,-3.15,142.36,80.58,13.47
352,Abilene,1,US,1578283541,45,32.45,-99.73,50,5.08
353,Pangkalanbuun,99,ID,1578283543,59,-2.68,111.62,89.33,2.93
354,Yarmouth,90,CA,1578283544,74,43.84,-66.12,28.4,20.8
355,Sidi Ali,0,DZ,1578283545,88,36.1,0.42,44.58,2.8
356,Yar-Sale,0,RU,1578283546,89,66.83,70.83,10.06,14.61
357,Zhigalovo,95,RU,1578283547,95,54.81,105.15,4.42,2.8
358,Ati,33,TD,1578283557,26,13.21,18.34,61.93,8.25
359,Samarai,19,PG,1578283558,65,-10.62,150.67,86.9,8.1
360,Pasighat,24,IN,1578283511,80,28.06,95.33,57.36,3.58
361,Abu Samrah,79,SY,1578283560,85,35.3,37.18,43.23,7.99
362,Hearst,100,CA,1578283338,95,49.69,-83.67,15.26,7.49
363,Muros,75,ES,1578283563,100,42.77,-9.06,44.01,2.24
364,Strezhevoy,90,RU,1578283564,92,60.73,77.6,24.8,15.66
365,Kaduqli,0,SD,1578283565,15,11.01,29.72,61.56,15.68
366,Rosarito,40,CO,1578283525,88,4.91,-75.23,69.8,5.82
367,Touros,20,BR,1578283284,83,-5.2,-35.46,78.8,5.82
368,Motril,9,ES,1578283568,100,36.75,-3.52,48.99,9.24
369,Huron,1,US,1578283569,79,44.36,-98.21,28.4,9.17
370,Lavrentiya,0,RU,1578283530,81,65.58,-170.99,-11.22,4.18
371,Santiago,51,PH,1578283572,77,16.69,121.54,75.79,4.07
372,Anastacio,63,BR,1578283573,49,-20.48,-55.81,81.21,7.14
373,Manadhoo,63,MV,1578283574,78,5.77,73.38,82.45,16.62
